"Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zona","TipoProteccion","ANP","BuzoMonitor","HoraInicial","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Sexo","Talla","ClaseTalla","Abundancia","RC"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,28,NA,14,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,36,NA,5,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Bodianus","diplotaenia","Bodianus diplotaenia",NA,40,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Epinephelus","guttatus","Epinephelus guttatus",NA,39,NA,14,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Epinephelus","guttatus","Epinephelus guttatus",NA,41,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Epinephelus","guttatus","Epinephelus guttatus",NA,49,NA,17,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,40,NA,11,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,45,NA,13,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,56,NA,18,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,58,NA,19,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Hoplopagrus","guentherii","Hoplopagrus guentherii",NA,62,NA,14,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Mugil","curema","Mugil curema",NA,33,NA,10,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Mugil","curema","Mugil curema",NA,39,NA,19,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Mugil","curema","Mugil curema",NA,42,NA,11,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Muraena","lentiginosa","Muraena lentiginosa",NA,33,NA,18,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Muraena","lentiginosa","Muraena lentiginosa",NA,39,NA,5,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,31,NA,9,"Las cruces - Calencho"
1,4,2000,NA,"Las Positas","Calencho",NA,NA,NA,"Control",NA,NA,"Caio Faro","10:20",19,18.3,25,11,NA,5,"Ocyurus","chrysurus","Ocyurus chrysurus",NA,40,NA,11,"Las cruces - Calencho"
