Ano,Comunidad,GeneroEspecie,NombreComun,Arribos,Ingresos,PrecioPromedio,CPI
2000,Las Positas,Cirrhitus rivulatus,Mero chino,0.0891,0.3564,4,9.49
2001,Las Positas,Cirrhitus rivulatus,Mero chino,14.1867,141.867,10,6.37
2002,Las Positas,Cirrhitus rivulatus,Mero chino,0.5588,5.0292,9,5.03
2003,Las Positas,Cirrhitus rivulatus,Mero chino,0.011,0.11,10,4.55
2004,Las Positas,Cirrhitus rivulatus,Mero chino,10.2487,102.487,10,4.69
2005,Las Positas,Cirrhitus rivulatus,Mero chino,2.3672,25.09232,10.6,3.99
2006,Las Positas,Cirrhitus rivulatus,Mero chino,0.2167,2.167,10,3.63
2007,Las Positas,Cirrhitus rivulatus,Mero chino,1.2287,14.49866,11.8,3.97
2008,Las Positas,Cirrhitus rivulatus,Mero chino,0.22,2.2,10,5.12
2009,Las Positas,Cirrhitus rivulatus,Mero chino,0.0044,0.0528,12,5.3
2010,Las Positas,Cirrhitus rivulatus,Mero chino,0.5588,5.588,10,4.16
2011,Las Positas,Cirrhitus rivulatus,Mero chino,0.011,0.099,9,3.41
2012,Las Positas,Cirrhitus rivulatus,Mero chino,10.2487,102.487,10,4.11
2013,Las Positas,Cirrhitus rivulatus,Mero chino,2.3672,23.672,10,3.81
2014,Las Positas,Cirrhitus rivulatus,Mero chino,0.2167,2.29702,10.6,4.02
2015,Las Positas,Cirrhitus rivulatus,Mero chino,1.2287,12.287,10,2.72
2016,Las Positas,Cirrhitus rivulatus,Mero chino,0.22,2.596,11.8,2.82
2017,Las Positas,Cirrhitus rivulatus,Mero chino,0.0044,0.044,10,6.04
2018,Las Positas,Cirrhitus rivulatus,Mero chino,1,12,12,6
2000,Las Positas,Epinephelus guttatus,Mero colorado,1,10,10,9.49
2001,Las Positas,Epinephelus guttatus,Mero colorado,2,20,10,6.37
2002,Las Positas,Epinephelus guttatus,Mero colorado,2,20,10,5.03
2003,Las Positas,Epinephelus guttatus,Mero colorado,3,30,10,4.55
2004,Las Positas,Epinephelus guttatus,Mero colorado,3,30,10,4.69
2005,Las Positas,Epinephelus guttatus,Mero colorado,4,40,10,3.99
2006,Las Positas,Epinephelus guttatus,Mero colorado,4,40,10,3.63
2007,Las Positas,Epinephelus guttatus,Mero colorado,5,50,10,3.97
2008,Las Positas,Epinephelus guttatus,Mero colorado,5,50,10,5.12
2009,Las Positas,Epinephelus guttatus,Mero colorado,6,60,10,5.3
2010,Las Positas,Epinephelus guttatus,Mero colorado,6,60,10,4.16
2011,Las Positas,Epinephelus guttatus,Mero colorado,7,70,10,3.41
2012,Las Positas,Epinephelus guttatus,Mero colorado,7,70,10,4.11
2013,Las Positas,Epinephelus guttatus,Mero colorado,8,80,10,3.81
2014,Las Positas,Epinephelus guttatus,Mero colorado,8,80,10,4.02
2015,Las Positas,Epinephelus guttatus,Mero colorado,9,90,10,2.72
2016,Las Positas,Epinephelus guttatus,Mero colorado,9,90,10,2.82
2017,Las Positas,Epinephelus guttatus,Mero colorado,10,100,10,6.04
2018,Las Positas,Epinephelus guttatus,Mero colorado,10,100,10,6
2000,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,10,90,9,9.49
2001,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,10,90,9,6.37
2002,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,9,81,9,5.03
2003,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,9,81,9,4.55
2004,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,8,72,9,4.69
2005,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,8,72,9,3.99
2006,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,7,63,9,3.63
2007,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,7,63,9,3.97
2008,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,6,54,9,5.12
2009,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,6,54,9,5.3
2010,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,5,45,9,4.16
2011,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,5,45,9,3.41
2012,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,4,36,9,4.11
2013,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,4,36,9,3.81
2014,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,3,27,9,4.02
2015,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,3,27,9,2.72
2016,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,2,18,9,2.82
2017,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,2,18,9,6.04
2018,Las Positas,Mycteroperca rosacea,Cabrilla sardinera,1,9,9,6
